s,0.11,0.1,0.73,
j,0.633076,-0.0451498,-0.00618325,0.249989,
j,0.633076,-0.0451708,-0.00618257,0.249989,
j,0.633076,-0.0452163,-0.00618189,0.249989,
j,0.633076,-0.0452857,-0.00618121,0.249989,
j,0.633076,-0.0453785,-0.00618053,0.249989,
j,0.633076,-0.045494,-0.00617985,0.249988,
j,0.633076,-0.0456313,-0.00617918,0.249988,
j,0.633076,-0.0457896,-0.0061785,0.249988,
j,0.633076,-0.0459678,-0.00617783,0.249988,
j,0.633076,-0.0461648,-0.00617716,0.249988,
j,0.633076,-0.0463794,-0.00617649,0.249988,
j,0.633076,-0.0466102,-0.00617582,0.249988,
j,0.633076,-0.046856,-0.00617515,0.249988,
j,0.633076,-0.0471153,-0.00617448,0.249988,
j,0.633076,-0.0473867,-0.00617382,0.249988,
j,0.633076,-0.0476685,-0.00617316,0.249988,
j,0.633076,-0.0479593,-0.00617249,0.249988,
j,0.633076,-0.0482574,-0.00617183,0.249988,
j,0.633076,-0.0485613,-0.00617117,0.249988,
j,0.633076,-0.0488692,-0.00617052,0.249988,
j,0.633076,-0.0491795,-0.00616986,0.249988,
j,0.633076,-0.0494907,-0.0061692,0.249988,
j,0.633076,-0.049801,-0.00616855,0.249988,
j,0.633076,-0.0501089,-0.00616789,0.249988,
j,0.633076,-0.0504127,-0.00616724,0.249988,
j,0.633076,-0.050711,-0.00616659,0.249988,
j,0.633076,-0.0510023,-0.00616594,0.249988,
j,0.633076,-0.0512851,-0.00616529,0.249988,
j,0.633076,-0.0515579,-0.00616464,0.249988,
j,0.633076,-0.0518195,-0.00616399,0.249988,
j,0.633076,-0.0520687,-0.00616335,0.249988,
j,0.633076,-0.0523042,-0.0061627,0.249988,
j,0.633076,-0.052525,-0.00616205,0.249988,
j,0.633076,-0.0527301,-0.00616141,0.249988,
j,0.633076,-0.0529184,-0.00616076,0.249988,
j,0.633076,-0.0530893,-0.00616011,0.249988,
j,0.633076,-0.053242,-0.00615947,0.249988,
j,0.633076,-0.0533759,-0.00615882,0.249988,
j,0.633076,-0.0534904,-0.00615818,0.249988,
j,0.633076,-0.0535852,-0.00615753,0.249988,
j,0.633076,-0.0536599,-0.00615689,0.249988,
j,0.633076,-0.0537144,-0.00615624,0.249988,
j,0.633076,-0.0537486,-0.00615559,0.249988,
j,0.633076,-0.0537625,-0.00615495,0.249988,
j,0.633076,-0.0537566,-0.0061543,0.249988,
j,0.633076,-0.0537314,-0.00615365,0.249988,
j,0.633076,-0.0536872,-0.006153,0.249988,
j,0.633076,-0.0536244,-0.00615234,0.249988,
j,0.633076,-0.0535435,-0.00615169,0.249988,
j,0.633076,-0.0534451,-0.00615104,0.249988,
j,0.633076,-0.0533299,-0.00615038,0.249988,
j,0.633076,-0.0531986,-0.00614973,0.249988,
j,0.633076,-0.0530521,-0.00614907,0.249988,
j,0.633076,-0.0528913,-0.00614842,0.249988,
j,0.633076,-0.0527172,-0.00614776,0.249988,
j,0.633076,-0.0525307,-0.0061471,0.249988,
j,0.633076,-0.0523331,-0.00614644,0.249988,
j,0.633076,-0.0521253,-0.00614578,0.249988,
j,0.633076,-0.0519087,-0.00614512,0.249988,
j,0.633077,-0.0516844,-0.00614446,0.249988,
j,0.633077,-0.0514536,-0.0061438,0.249988,
